"Data licence information","Data from Water Survey of Canada has been acquired from Environment Canada (https://www.ec.gc.ca/rhc-wsc/default.asp?lang=En&n=9018B5EC-1). This data is a copy of an official work that is published by the Government of Canada and the reproduction has not been produced in affiliation with or with the endorsement of the Government of Canada. For more information on the terms and conditions of the data please see: http://www.ec.gc.ca/default.asp?lang=En&n=12345678-1&xsl=mainhomeitem&xml=5830C36B-1773-4E3E-AF8C-B21F54633E0A. Any reliance you place upon the information contained here is your sole responsibility and strictly at your own risk. In no event will the original data custodian, BC Oil and Gas Commission, Ministry of Forests, Lands and Natural Resource Operations or Foundry Spatial Ltd. be liable for any loss or damage whatsoever, including without limitation, indirect or consequential loss or damage, arising from reliance upon the data or derived information."

"Name","Chehalis River Near Harrison Mills"
"Station id","08MG001"
"Network","Water Survey of Canada"
"Status","Current"
"Drainage area",383
"Operation","Not Available"
"Latitude",49.30033
"Longitude",-121.93756
"Description","Not Available"
"QA","1 - quality checked, 0 - unchecked quality"
"Date range","1911-2021"
"Drainage Area (km²)",383

"Analysis","Datetime","Value","QA"
"Discharge (m3/s)","1911-11-01 00:00:00",8.21000003814697,1
"Discharge (m3/s)","1911-11-02 00:00:00",8.21000003814697,1
"Discharge (m3/s)","1911-11-03 00:00:00",8.21000003814697,1
"Discharge (m3/s)","1911-11-04 00:00:00",8.21000003814697,1
"Discharge (m3/s)","1911-11-05 00:00:00",8.21000003814697,1
"Discharge (m3/s)","1911-11-06 00:00:00",34.2999992370605,1
"Discharge (m3/s)","1911-11-07 00:00:00",68.8000030517578,1
"Discharge (m3/s)","1911-11-08 00:00:00",52.0999984741211,1
"Discharge (m3/s)","1911-11-09 00:00:00",20.7000007629395,1
"Discharge (m3/s)","1911-11-10 00:00:00",16.3999996185303,1
"Discharge (m3/s)","1911-11-11 00:00:00",14.6999998092651,1
"Discharge (m3/s)","1911-11-12 00:00:00",11.6000003814697,1
"Discharge (m3/s)","1911-11-13 00:00:00",10.1999998092651,1
"Discharge (m3/s)","1911-11-14 00:00:00",10.1999998092651,1
"Discharge (m3/s)","1911-11-15 00:00:00",10.8999996185303,1
"Discharge (m3/s)","1911-11-16 00:00:00",103,1
"Discharge (m3/s)","1911-11-17 00:00:00",135,1
"Discharge (m3/s)","1911-11-18 00:00:00",269,1
"Discharge (m3/s)","1911-11-19 00:00:00",109,1
"Discharge (m3/s)","1911-11-20 00:00:00",135,1
"Discharge (m3/s)","1911-11-21 00:00:00",116,1
"Discharge (m3/s)","1911-11-22 00:00:00",100,1
"Discharge (m3/s)","1911-11-23 00:00:00",74.1999969482422,1
"Discharge (m3/s)","1911-11-24 00:00:00",61.2000007629395,1
"Discharge (m3/s)","1911-11-25 00:00:00",149,1
"Discharge (m3/s)","1911-11-26 00:00:00",88.3000030517578,1
"Discharge (m3/s)","1911-11-27 00:00:00",71.5999984741211,1
"Discharge (m3/s)","1911-11-28 00:00:00",49.7999992370605,1
"Discharge (m3/s)","1911-11-29 00:00:00",39.5999984741211,1
"Discharge (m3/s)","1911-11-30 00:00:00",54.0999984741211,1
"Discharge (m3/s)","1911-12-01 00:00:00",74.1999969482422,1
